,dax__index,planner__version,type,dax__version,submit__dir,user,dag__file__name,dax__label,argv,submit__hostname,ts,event,@timestamp,@version,dax__file,xwf__id,root__xwf__id,reason,restart_count,js__id,stderr.file,job__id,stdout.file,sched__id,job_inst__id,inv__id,start_time,exitcode,dur,executable,transformation,remote_cpu_time,stderr__file,work_dir,local__dur,site,multiplier_factor,stdout__text,status,stderr__text,stdout__file,hostname,ip,total_memory,uname,task__id
0,0,4.9.0panorama,stampede,3.6,/home/panorama/1000genome-workflow/submit/panorama/pegasus/1000genome-20180627T215441Z/run0001,panorama,1000genome-20180627T215441Z-0.dag,1000genome-20180627T215441Z,--conf pegasus.properties --dax 1000genome_monitoring.dax --dir /home/panorama/1000genome-workflow/submit --sites condorpool --output-site data --cleanup leaf --force --submit,master,1530136481.0,stampede.wf.plan,2018-06-27T21:54:47.589Z,1,/home/panorama/1000genome-workflow/1000genome_monitoring.dax,7dc85a61-0e02-4d18-add5-600052ace052,7dc85a61-0e02-4d18-add5-600052ace052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,stampede,,,,,,,,1530136484.0,stampede.xwf.start,2018-06-27T21:54:48.491Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,stampede,,,,,,,,1530136490.0,stampede.job_inst.main.start,2018-06-27T21:54:55.527Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,2.0,00/01/create_dir_1000genome-20180627T215441Z_0_local.err,create_dir_1000genome-20180627T215441Z_0_local,00/01/create_dir_1000genome-20180627T215441Z_0_local.out,6569.0,1.0,,,,,,,,,,,,,,,,,,,,,
3,,,stampede,,,,,,,,1530136490.0,stampede.inv.start,2018-06-27T21:55:05.544Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,,,create_dir_1000genome-20180627T215441Z_0_local,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
4,,,stampede,,,,,,,,1530136496.0,stampede.inv.end,2018-06-27T21:55:05.544Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,,,create_dir_1000genome-20180627T215441Z_0_local,,,1.0,1.0,1530136490.0,0,6,/usr/bin/pegasus-transfer,pegasus::dirmanager,,,,,,,,,,,,,,,
5,,,stampede,,,,,, -l 1000genome-20180627T215441Z-0.exitcode.log -M 1000genome-20180627T215441Z-0.cache.meta -r $RETURN .//00/01/create_dir_1000genome-20180627T215441Z_0_local.out,,1530136498.0,stampede.inv.end,2018-06-27T21:55:05.580Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,,,create_dir_1000genome-20180627T215441Z_0_local,,,1.0,-2.0,1530136498.0,0,0,/usr/bin/pegasus-exitcode,dagman::post,0.0,,,,,,,,,,,,,,
6,,,stampede,,,,,,,,1530136498.0,stampede.job_inst.post.start,2018-06-27T21:55:00.535Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,5.0,,create_dir_1000genome-20180627T215441Z_0_local,,6569.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,,,stampede,,,,,,,,1530136498.0,stampede.inv.start,2018-06-27T21:55:05.580Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,,,create_dir_1000genome-20180627T215441Z_0_local,,,1.0,-2.0,,,,,,,,,,,,,,,,,,,,
8,,,stampede,,,panorama,,,,,1530136498.0,stampede.job_inst.main.end,2018-06-27T21:55:05.579Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,4.0,,create_dir_1000genome-20180627T215441Z_0_local,,6569.0,1.0,,,0,,,,,00/01/create_dir_1000genome-20180627T215441Z_0_local.err.000,/home/panorama/1000genome-workflow/submit/panorama/pegasus/1000genome-20180627T215441Z/run0001,6.0,local,1,"#@ 1 stdout%0A2018-06-27 21:54:50,918    INFO:  Reading URL pairs from stdin%0A2018-06-27 21:54:50,919    INFO:  1 transfers loaded%0A2018-06-27 21:54:50,919    INFO:  PATH=/usr/bin:/bin%0A2018-06-27 21:54:50,919    INFO:  LD_LIBRARY_PATH=%0A2018-06-27 21:54:50,937    INFO:  --------------------------------------------------------------------------------%0A2018-06-27 21:54:50,937    INFO:  Starting transfers - attempt 1%0A2018-06-27 21:54:52,941    INFO:  Tool found: pegasus-globus-online   Version: N/A   Path: /usr/bin/pegasus-globus-online%0A2018-06-27 21:54:52,941    INFO:  Parsing globus config file for OAuth credentials%0A2018-06-27 21:54:52,942    INFO:  End of parsing globus config file for OAuth credentials%0A2018-06-27 21:54:52,944    INFO:  /usr/bin/pegasus-globus-online --mkdir --file /var/lib/condor/spool/local_univ_execute/dir_537661/pegasus-transfer-E24C8g.json%0A2018-06-27 21:54:56,817    INFO:  2018-06-27 21:54:53,577    INFO:  Activating georgepap#exo-master2%0A2018-06-27 21:54:55,310 WARNING:  Finding existing parent dir for mkdir /home/panorama/1000genome-workflow/work/scratch/panorama/pegasus/1000genome-20180627T215441Z/run0001%0A2018-06-27 21:54:55,310 WARNING:  Directory %27/home/panorama/1000genome-workflow/work/scratch/panorama/pegasus/1000genome-20180627T215441Z%27 not found on endpoint %27georgepap#exo-master2%27%0A2018-06-27 21:54:56,787    INFO:  Mkdir complete%0A2018-06-27 21:54:56,818    INFO:  --------------------------------------------------------------------------------%0A2018-06-27 21:54:56,818    INFO:  Stats: no local files in the transfer set%0A2018-06-27 21:54:56,818    INFO:  All transfers completed successfully.%0A",0.0,,00/01/create_dir_1000genome-20180627T215441Z_0_local.out.000,,,,,
9,,,stampede,,,,,,,,1530136503.0,stampede.job_inst.post.end,2018-06-27T21:55:05.580Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,7.0,,create_dir_1000genome-20180627T215441Z_0_local,,6569.0,1.0,,,0,,,,,,,,,,,0.0,,,,,,,
10,,,stampede,,,,,,,,1530136509.0,stampede.inv.start,2018-06-27T22:01:07.035Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,,,stage_in_local_local_2_2,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11,,,stampede,,,,,,,,1530136509.0,stampede.job_inst.main.start,2018-06-27T21:55:10.569Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,2.0,00/01/stage_in_local_local_2_2.err,stage_in_local_local_2_2,00/01/stage_in_local_local_2_2.out,6570.0,2.0,,,,,,,,,,,,,,,,,,,,,
12,,,stampede,,,,,,,,1530136514.0,stampede.inv.start,2018-06-27T22:04:12.200Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,,,stage_in_local_local_0_1,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,
13,,,stampede,,,,,,,,1530136514.0,stampede.inv.start,2018-06-27T21:56:51.764Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,,,stage_in_local_local_1_0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,
14,,,stampede,,,,,,,,1530136514.0,stampede.inv.start,2018-06-27T21:59:01.902Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,,,stage_in_local_local_0_2,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,
15,,,stampede,,,,,,,,1530136514.0,stampede.inv.start,2018-06-27T21:56:46.725Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,,,stage_in_local_local_0_0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,
16,,,stampede,,,,,,,,1530136514.0,stampede.job_inst.main.start,2018-06-27T21:55:16.611Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,2.0,00/00/stage_in_local_local_0_1.err,stage_in_local_local_0_1,00/00/stage_in_local_local_0_1.out,6572.0,4.0,,,,,,,,,,,,,,,,,,,,,
17,,,stampede,,,,,,,,1530136514.0,stampede.job_inst.main.start,2018-06-27T21:55:16.610Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,2.0,00/00/stage_in_local_local_0_2.err,stage_in_local_local_0_2,00/00/stage_in_local_local_0_2.out,6574.0,6.0,,,,,,,,,,,,,,,,,,,,,
18,,,stampede,,,,,,,,1530136514.0,stampede.job_inst.main.start,2018-06-27T21:55:16.610Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,2.0,00/00/stage_in_local_local_1_0.err,stage_in_local_local_1_0,00/00/stage_in_local_local_1_0.out,6573.0,5.0,,,,,,,,,,,,,,,,,,,,,
19,,,stampede,,,,,,,,1530136514.0,stampede.job_inst.main.start,2018-06-27T21:55:16.646Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,2.0,00/00/stage_in_local_local_0_0.err,stage_in_local_local_0_0,00/00/stage_in_local_local_0_0.out,6571.0,3.0,,,,,,,,,,,,,,,,,,,,,
20,,,stampede,,,,,,,,1530136519.0,stampede.inv.start,2018-06-27T21:56:56.814Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,,,stage_in_local_local_2_1,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,
21,,,stampede,,,,,,,,1530136519.0,stampede.job_inst.main.start,2018-06-27T21:55:26.642Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,2.0,00/01/stage_in_local_local_2_1.err,stage_in_local_local_2_1,00/01/stage_in_local_local_2_1.out,6576.0,8.0,,,,,,,,,,,,,,,,,,,,,
22,,,stampede,,,,,,,,1530136519.0,stampede.job_inst.main.start,2018-06-27T21:55:26.642Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,2.0,00/01/stage_in_local_local_2_0.err,stage_in_local_local_2_0,00/01/stage_in_local_local_2_0.out,6575.0,7.0,,,,,,,,,,,,,,,,,,,,,
23,,,stampede,,,,,,,,1530136519.0,stampede.inv.start,2018-06-27T21:56:56.779Z,1,,7dc85a61-0e02-4d18-add5-600052ace052,,,,,,stage_in_local_local_2_0,,,7.0,1.0,,,,,,,,,,,,,,,,,,,,
