,dag_job_id,pid,vm,@version,rank,bsend,site,syscw,type,wf_label,bwrite,exe,rchar,threads,utime,syscr,@timestamp,xformation,wf_uuid,task_id,hostname,brecv,procs,event,iowait,wchar,bread,ts,stime,condor_job_id,rss
1216,sassena_ID0000005,26046,689276,1,8,0,local-slurm,280,kickstart,refinement-20180718T211501Z,294912,/usr/bin/pegasus-monitor,11643199,5,213.98,3997,2018-07-18T21:32:04.852Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-2,0,2,kickstart.inv.online,0.26,318576,11546624,1531949523.455863,175.08,10507.0,38120
1217,sassena_ID0000005,11637,706572,1,0,0,local-slurm,509,kickstart,refinement-20180718T211501Z,651264,/usr/bin/pegasus-monitor,13036382,7,242.38,4199,2018-07-18T21:32:44.726Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-0,0,2,kickstart.inv.online,0.48,799154,9760768,1531949563.876074,186.72,10507.0,41320
1218,sassena_ID0000005,11645,688120,1,3,0,local-slurm,638,kickstart,refinement-20180718T211501Z,352256,/usr/bin/pegasus-monitor,10908390,5,231.81,4136,2018-07-18T21:32:44.806Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-0,0,2,kickstart.inv.online,0.46,2612884,3866624,1531949563.889003,197.14,10507.0,36892
1219,sassena_ID0000005,23915,688096,1,13,0,local-slurm,282,kickstart,refinement-20180718T211501Z,393216,/usr/bin/pegasus-monitor,10778436,5,220.07,4121,2018-07-18T21:32:44.868Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-3,0,2,kickstart.inv.online,0.26,76426,4653056,1531949562.547574,209.32,10507.0,37608
1220,sassena_ID0000005,26049,687980,1,9,0,local-slurm,295,kickstart,refinement-20180718T211501Z,311296,/usr/bin/pegasus-monitor,10778924,5,247.92,4138,2018-07-18T21:32:44.869Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-2,0,2,kickstart.inv.online,0.47,298143,4362240,1531949563.449815,181.46,10507.0,37212
1221,sassena_ID0000005,24433,688176,1,4,0,local-slurm,383,kickstart,refinement-20180718T211501Z,344064,/usr/bin/pegasus-monitor,12605332,5,240.37,4372,2018-07-18T21:32:44.871Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-1,0,2,kickstart.inv.online,0.45,587352,7991296,1531949563.846212,188.72,10507.0,37144
1222,sassena_ID0000005,26051,688208,1,11,0,local-slurm,519,kickstart,refinement-20180718T211501Z,356352,/usr/bin/pegasus-monitor,10798103,5,238.07,4122,2018-07-18T21:32:44.871Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-2,0,2,kickstart.inv.online,0.25,2128531,2154496,1531949563.451073,191.13,10507.0,37112
1223,sassena_ID0000005,26046,689276,1,8,0,local-slurm,301,kickstart,refinement-20180718T211501Z,311296,/usr/bin/pegasus-monitor,12605355,5,236.54,4353,2018-07-18T21:32:44.867Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-2,0,2,kickstart.inv.online,0.26,325612,11546624,1531949563.455874,192.48,10507.0,38120
1224,sassena_ID0000005,26050,688100,1,10,0,local-slurm,295,kickstart,refinement-20180718T211501Z,315392,/usr/bin/pegasus-monitor,10778933,5,241.19,4132,2018-07-18T21:32:44.871Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-2,0,2,kickstart.inv.online,0.46,298226,5222400,1531949563.459254,187.3,10507.0,36732
1225,sassena_ID0000005,11638,688020,1,1,0,local-slurm,399,kickstart,refinement-20180718T211501Z,303104,/usr/bin/pegasus-monitor,11131403,5,242.48,4213,2018-07-18T21:32:54.798Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-0,0,2,kickstart.inv.online,0.47,764762,7458816,1531949573.876362,196.13,10507.0,37016
1226,sassena_ID0000005,26050,688100,1,10,0,local-slurm,301,kickstart,refinement-20180718T211501Z,315392,/usr/bin/pegasus-monitor,11019469,5,246.8,4221,2018-07-18T21:32:54.881Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-2,0,2,kickstart.inv.online,0.46,299991,5222400,1531949573.459182,191.68,10507.0,36732
1227,sassena_ID0000005,24437,688012,1,6,0,local-slurm,383,kickstart,refinement-20180718T211501Z,339968,/usr/bin/pegasus-monitor,11019475,5,259.17,4233,2018-07-18T21:32:54.884Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-1,0,2,kickstart.inv.online,0.45,561696,3182592,1531949573.846365,180.2,10507.0,37392
1228,sassena_ID0000005,24433,688176,1,4,0,local-slurm,389,kickstart,refinement-20180718T211501Z,344064,/usr/bin/pegasus-monitor,12845870,5,246.19,4461,2018-07-18T21:32:54.884Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-1,0,2,kickstart.inv.online,0.45,589117,7991296,1531949573.846307,192.89,10507.0,37144
1229,sassena_ID0000005,24438,688396,1,7,0,local-slurm,570,kickstart,refinement-20180718T211501Z,368640,/usr/bin/pegasus-monitor,10317040,5,239.53,3931,2018-07-18T21:32:24.855Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-1,0,2,kickstart.inv.online,0.44,2367258,2076672,1531949543.84672,169.8,10507.0,37240
1230,sassena_ID0000005,23922,688160,1,15,0,local-slurm,271,kickstart,refinement-20180718T211501Z,405504,/usr/bin/pegasus-monitor,10316510,5,198.68,3939,2018-07-18T21:32:24.852Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-3,0,2,kickstart.inv.online,0.24,72840,417792,1531949542.553483,210.76,10507.0,37416
1231,sassena_ID0000005,26050,688100,1,10,0,local-slurm,285,kickstart,refinement-20180718T211501Z,303104,/usr/bin/pegasus-monitor,10297871,5,229.97,3954,2018-07-18T21:32:24.855Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-2,0,2,kickstart.inv.online,0.46,294712,5222400,1531949543.459259,178.58,10507.0,36732
1232,sassena_ID0000005,26050,688100,1,10,0,local-slurm,311,kickstart,refinement-20180718T211501Z,319488,/usr/bin/pegasus-monitor,11500533,5,257.82,4399,2018-07-18T21:33:14.836Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-2,0,2,kickstart.inv.online,0.46,303505,5222400,1531949593.459271,200.61,10507.0,36732
1233,sassena_ID0000005,11638,688020,1,1,0,local-slurm,409,kickstart,refinement-20180718T211501Z,315392,/usr/bin/pegasus-monitor,11612461,5,253.77,4391,2018-07-18T21:33:14.724Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-0,0,2,kickstart.inv.online,0.47,768276,7458816,1531949593.876391,204.82,10507.0,37016
1234,sassena_ID0000005,26046,689276,1,8,0,local-slurm,296,kickstart,refinement-20180718T211501Z,311296,/usr/bin/pegasus-monitor,12364813,5,230.96,4264,2018-07-18T21:32:34.886Z,sassena,0d3a50e8-d8f9-4ad1-a3d0-cceba3c9e6e1,ID0000005,workers1-2,0,2,kickstart.inv.online,0.26,323855,11546624,1531949553.455839,188.08,10507.0,38120
