,exe,task_id,bwrite,bsend,dag_job_id,wf_label,hostname,stime,xformation,rss,event,procs,iowait,@version,condor_job_id,syscr,type,wf_uuid,threads,syscw,rchar,site,vm,pid,ts,bread,rank,@timestamp,utime,brecv,wchar
971,/var/lib/condor/execute/dir_15896/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000022,573718528,0,individuals_wrapper_ID0000022,1000genome-20180627T215441Z,workers1-0,30.26,individuals_wrapper,22768,kickstart.inv.online,5,0.21,1,6598.0,27337,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,1634098,116081668,condorpool,299236,25437,1530137959.324875,0,0,2018-06-27T22:19:20.136Z,259.4,0,267415098
972,/var/lib/condor/execute/dir_17878/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000002,784924672,0,individuals_wrapper_ID0000002,1000genome-20180627T215441Z,workers1-2,43.42,individuals_wrapper,22556,kickstart.inv.online,5,0.28,1,6596.0,10097,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,2454579,47967673,condorpool,299252,31152,1530138031.878718,0,0,2018-06-27T22:20:33.165Z,376.43,0,407451401
973,/var/lib/condor/execute/dir_7662/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000001,1536151552,0,individuals_wrapper_ID0000001,1000genome-20180627T215441Z,workers1-0,35.0,individuals_wrapper,24004,kickstart.inv.online,8,0.22,1,6597.0,63483,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,9,3711108,218015617,condorpool,339916,19613,1530138003.387716,0,0,2018-06-27T22:20:04.197Z,295.19,0,640273798
974,/var/lib/condor/execute/dir_17878/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000002,662687744,0,individuals_wrapper_ID0000002,1000genome-20180627T215441Z,workers1-2,34.09,individuals_wrapper,22556,kickstart.inv.online,5,0.25,1,6596.0,8348,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,1921877,39265120,condorpool,299252,31152,1530137941.880265,0,0,2018-06-27T22:19:03.158Z,295.7,0,319316680
975,/var/lib/condor/execute/dir_7662/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000001,760983552,0,individuals_wrapper_ID0000001,1000genome-20180627T215441Z,workers1-0,34.84,individuals_wrapper,22152,kickstart.inv.online,5,0.22,1,6597.0,6338,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,1828606,30548718,condorpool,299248,19613,1530137993.387238,0,0,2018-06-27T22:19:54.196Z,295.11,0,297648855
976,/var/lib/condor/execute/dir_14260/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000013,1636691968,0,individuals_wrapper_ID0000013,1000genome-20180627T215441Z,workers1-2,38.08,individuals_wrapper,15720,kickstart.inv.online,6,0.23,1,6595.0,725399,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,7,3865151,1740450171,condorpool,325520,26815,1530137967.362637,0,0,2018-06-27T22:19:28.635Z,287.53,0,1435963659
977,/var/lib/condor/execute/dir_14260/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000013,776351744,0,individuals_wrapper_ID0000013,1000genome-20180627T215441Z,workers1-2,34.28,individuals_wrapper,22316,kickstart.inv.online,5,0.23,1,6595.0,30420,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,1846630,129416650,condorpool,299248,26815,1530137927.362541,0,0,2018-06-27T22:18:48.639Z,285.44,0,311298684
978,/var/lib/condor/execute/dir_17878/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000002,672944128,0,individuals_wrapper_ID0000002,1000genome-20180627T215441Z,workers1-2,35.11,individuals_wrapper,22556,kickstart.inv.online,5,0.25,1,6596.0,8533,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,1977555,40161073,condorpool,299252,31152,1530137951.880283,0,0,2018-06-27T22:19:13.158Z,304.68,0,328513611
979,/var/lib/condor/execute/dir_17878/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000002,703713280,0,individuals_wrapper_ID0000002,1000genome-20180627T215441Z,workers1-2,37.28,individuals_wrapper,22556,kickstart.inv.online,5,0.26,1,6596.0,8913,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,2089289,42022611,condorpool,299252,31152,1530137971.878762,0,0,2018-06-27T22:19:33.156Z,322.54,0,346781189
980,/var/lib/condor/execute/dir_17878/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000002,711999488,0,individuals_wrapper_ID0000002,1000genome-20180627T215441Z,workers1-2,38.31,individuals_wrapper,22556,kickstart.inv.online,5,0.26,1,6596.0,9107,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,2146564,42988196,condorpool,299252,31152,1530137981.87874,0,0,2018-06-27T22:19:43.157Z,331.51,0,356283636
981,/var/lib/condor/execute/dir_7662/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000001,689188864,0,individuals_wrapper_ID0000001,1000genome-20180627T215441Z,workers1-0,29.53,individuals_wrapper,22152,kickstart.inv.online,5,0.19,1,6597.0,5394,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,1549974,25941982,condorpool,299248,19613,1530137943.387325,0,0,2018-06-27T22:19:04.202Z,250.41,0,251705700
982,/var/lib/condor/execute/dir_7662/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000001,740470784,0,individuals_wrapper_ID0000001,1000genome-20180627T215441Z,workers1-0,33.77,individuals_wrapper,22152,kickstart.inv.online,5,0.21,1,6597.0,6152,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,1772863,29652766,condorpool,299248,19613,1530137983.387378,0,0,2018-06-27T22:19:44.235Z,286.18,0,288395885
983,/var/lib/condor/execute/dir_15896/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000022,679133184,0,individuals_wrapper_ID0000022,1000genome-20180627T215441Z,workers1-0,36.39,individuals_wrapper,22768,kickstart.inv.online,5,0.26,1,6598.0,28475,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,1969269,121658102,condorpool,299236,25437,1530138019.326653,0,0,2018-06-27T22:20:20.140Z,313.26,0,322178531
984,/var/lib/condor/execute/dir_15896/pegasus-4.9.0panorama/bin/pegasus-monitor,ID0000022,655106048,0,individuals_wrapper_ID0000022,1000genome-20180627T215441Z,workers1-0,35.29,individuals_wrapper,22768,kickstart.inv.online,5,0.24,1,6598.0,28290,kickstart,7dc85a61-0e02-4d18-add5-600052ace052,6,1914987,120762147,condorpool,299236,25437,1530138009.324846,0,0,2018-06-27T22:20:10.139Z,304.35,0,313309612
